geometry,experiment,parameter,rmse
Stożkowa,Liczba detektorów (90-720),90,0.16771812736988068
Stożkowa,Liczba detektorów (90-720),180,0.1896195262670517
Stożkowa,Liczba detektorów (90-720),270,0.21022465825080872
Stożkowa,Liczba detektorów (90-720),360,0.2217763066291809
Stożkowa,Liczba detektorów (90-720),450,0.224842369556427
Stożkowa,Liczba detektorów (90-720),540,0.23014402389526367
Stożkowa,Liczba detektorów (90-720),630,0.23576049506664276
Stożkowa,Liczba detektorów (90-720),720,0.23772354423999786
Stożkowa,Liczba skanów (90-720),90,0.17004799842834473
Stożkowa,Liczba skanów (90-720),180,0.1896195262670517
Stożkowa,Liczba skanów (90-720),270,0.17755521833896637
Stożkowa,Liczba skanów (90-720),360,0.19505730271339417
Stożkowa,Liczba skanów (90-720),450,0.18840567767620087
Stożkowa,Liczba skanów (90-720),540,0.19217675924301147
Stożkowa,Liczba skanów (90-720),630,0.19295568764209747
Stożkowa,Liczba skanów (90-720),720,0.19397667050361633
Stożkowa,Rozpiętość wachlarza (45-270),45,0.4177236557006836
Stożkowa,Rozpiętość wachlarza (45-270),90,0.2760152518749237
Stożkowa,Rozpiętość wachlarza (45-270),135,0.2525254189968109
Stożkowa,Rozpiętość wachlarza (45-270),180,0.1896195262670517
Stożkowa,Rozpiętość wachlarza (45-270),225,0.18400390446186066
Stożkowa,Rozpiętość wachlarza (45-270),270,0.22814524173736572
Równoległa,Liczba detektorów (90-720),90,0.2645936608314514
Równoległa,Liczba detektorów (90-720),180,0.2549668550491333
Równoległa,Liczba detektorów (90-720),270,0.2655002772808075
Równoległa,Liczba detektorów (90-720),360,0.3103242516517639
Równoległa,Liczba detektorów (90-720),450,0.2988598644733429
Równoległa,Liczba detektorów (90-720),540,0.2997685670852661
Równoległa,Liczba detektorów (90-720),630,0.2780791223049164
Równoległa,Liczba detektorów (90-720),720,0.2766871452331543
Równoległa,Liczba skanów (90-720),90,0.2524058222770691
Równoległa,Liczba skanów (90-720),180,0.2549668550491333
Równoległa,Liczba skanów (90-720),270,0.28977862000465393
Równoległa,Liczba skanów (90-720),360,0.2827209234237671
Równoległa,Liczba skanów (90-720),450,0.29237431287765503
Równoległa,Liczba skanów (90-720),540,0.28918227553367615
Równoległa,Liczba skanów (90-720),630,0.26464933156967163
Równoległa,Liczba skanów (90-720),720,0.2985120415687561
Równoległa,Rozpiętość równoległa (% przekątnej: 50-200),50,0.19035306572914124
Równoległa,Rozpiętość równoległa (% przekątnej: 50-200),75,0.15390130877494812
Równoległa,Rozpiętość równoległa (% przekątnej: 50-200),100,0.2549668550491333
Równoległa,Rozpiętość równoległa (% przekątnej: 50-200),125,0.31497132778167725
Równoległa,Rozpiętość równoległa (% przekątnej: 50-200),150,0.27614516019821167
Równoległa,Rozpiętość równoległa (% przekątnej: 50-200),175,0.28577521443367004
Równoległa,Rozpiętość równoległa (% przekątnej: 50-200),200,0.2021527886390686
